,Date,Open,High,Low,Close,Adj Close,Volume,date_numeric
0,1/4/10,1116.560059,1133.869995,1116.560059,1132.98999,1132.98999,3991400000.0,3.0
1,1/5/10,1132.660034,1136.630005,1129.660034,1136.52002,1136.52002,2491020000.0,4.0
2,1/6/10,1135.709961,1139.189941,1133.949951,1137.140015,1137.140015,4972660000.0,5.0
3,1/7/10,1136.27002,1142.459961,1131.319946,1141.689941,1141.689941,5270680000.0,6.0
4,1/8/10,1140.52002,1145.390015,1136.219971,1144.97998,1144.97998,4389590000.0,7.0
5,1/11/10,1145.959961,1149.73999,1142.02002,1146.97998,1146.97998,4255780000.0,10.0
6,1/12/10,1143.810059,1143.810059,1131.77002,1136.219971,1136.219971,4716160000.0,11.0
7,1/13/10,1137.310059,1148.400024,1133.180054,1145.680054,1145.680054,4170360000.0,12.0
8,1/14/10,1145.680054,1150.410034,1143.800049,1148.459961,1148.459961,3915200000.0,13.0
9,1/15/10,1147.719971,1147.77002,1131.390015,1136.030029,1136.030029,4758730000.0,14.0
10,1/19/10,1136.030029,1150.449951,1135.77002,1150.22998,1150.22998,4724830000.0,18.0
11,1/20/10,1147.949951,1147.949951,1129.25,1138.040039,1138.040039,4810560000.0,19.0
12,1/21/10,1138.680054,1141.579956,1114.839966,1116.47998,1116.47998,6874290000.0,20.0
13,1/22/10,1115.48999,1115.48999,1090.180054,1091.76001,1091.76001,6208650000.0,21.0
14,1/25/10,1092.400024,1102.969971,1092.400024,1096.780029,1096.780029,4481390000.0,24.0
15,1/26/10,1095.800049,1103.689941,1089.859985,1092.170044,1092.170044,4731910000.0,25.0
16,1/27/10,1091.939941,1099.51001,1083.109985,1097.5,1097.5,5319120000.0,26.0
17,1/28/10,1096.930054,1100.219971,1078.459961,1084.530029,1084.530029,5452400000.0,27.0
18,1/29/10,1087.609985,1096.449951,1071.589966,1073.869995,1073.869995,5412850000.0,28.0
19,2/1/10,1073.890015,1089.380005,1073.890015,1089.189941,1089.189941,4077610000.0,31.0
20,2/2/10,1090.050049,1104.72998,1087.959961,1103.319946,1103.319946,4749540000.0,32.0
21,2/3/10,1100.670044,1102.719971,1093.969971,1097.280029,1097.280029,4285450000.0,33.0
22,2/4/10,1097.25,1097.25,1062.780029,1063.109985,1063.109985,5859690000.0,34.0
23,2/5/10,1064.119995,1067.130005,1044.5,1066.189941,1066.189941,6438900000.0,35.0
24,2/8/10,1065.51001,1071.199951,1056.51001,1056.73999,1056.73999,4089820000.0,38.0
25,2/9/10,1060.060059,1079.280029,1060.060059,1070.52002,1070.52002,5114260000.0,39.0
26,2/10/10,1069.680054,1073.670044,1059.339966,1068.130005,1068.130005,4251450000.0,40.0
27,2/11/10,1067.099976,1080.040039,1060.589966,1078.469971,1078.469971,4400870000.0,41.0
28,2/12/10,1075.949951,1077.810059,1062.969971,1075.51001,1075.51001,4160680000.0,42.0
29,2/16/10,1079.130005,1095.670044,1079.130005,1094.869995,1094.869995,4080770000.0,46.0
30,2/17/10,1096.140015,1101.030029,1094.719971,1099.51001,1099.51001,4259230000.0,47.0
31,2/18/10,1099.030029,1108.23999,1097.47998,1106.75,1106.75,3878620000.0,48.0
32,2/19/10,1105.48999,1112.420044,1100.800049,1109.170044,1109.170044,3944280000.0,49.0
